megye;jaras;cim;telepules_tipusa;lakossag;vedett;lats;longs;location_levels
GYO;Soproni;Pinnye;község;358;226;47.5871074;16.7686191;LocLevel.PRECISE
ZAL;Letenyei;Letenye;város;3940;2487;46.433204;16.7230843;LocLevel.PRECISE
BAR;Pécsi;Pellérd;község;2402;1516;46.0348577;18.153296;LocLevel.PRECISE
VAS;Vasvári;Alsóújlak;község;591;373;47.0822227;16.8531169;LocLevel.PRECISE
HEV;Füzesabonyi;Újlőrincfalva;község;214;135;47.6260626;20.5985459;LocLevel.PRECISE
BAR;Pécsi;Szalánta;község;1200;757;45.9473169;18.2373967;LocLevel.PRECISE
KOM;Tatai;Neszmély;község;1411;890;47.7357694;18.3654526;LocLevel.PRECISE
SZA;Vásárosnaményi;Vásárosnamény;város;8753;5521;48.1267635;22.312647;LocLevel.PRECISE
ZAL;Nagykanizsai;Eszteregnye;község;685;432;46.4702998;16.8842191;LocLevel.PRECISE
VES;Veszprémi;Vöröstó;község;111;70;46.9717029;17.7233601;LocLevel.PRECISE
VES;Tapolcai;Vigántpetend;község;203;128;46.9644535;17.6269085;LocLevel.PRECISE
VAS;Sárvári;Szeleste;község;682;430;47.3129566;16.8311576;LocLevel.PRECISE
TOL;Tamási;Keszőhidegkút;község;211;133;46.6105094;18.4225813;LocLevel.PRECISE
ZAL;Nagykanizsai;Nagyrécse;község;1117;704;46.4887323;17.0516176;LocLevel.PRECISE
BAR;Siklósi;Siklós;város;9538;6009;45.852096;18.2981568;LocLevel.PRECISE
FEJ;Sárbogárdi;Sárbogárd;város;11984;7549;46.8874371;18.6196247;LocLevel.PRECISE
KOM;Tatabányai;Szárliget;község;2537;1598;47.5184474;18.4935586;LocLevel.PRECISE
SOM;Siófoki;Kötcse;község;537;338;46.7518662;17.8601652;LocLevel.PRECISE
SZA;Kisvárdai;Jéke;község;742;467;48.2388;22.1515137;LocLevel.PRECISE
VAS;Kőszegi;Tömörd;község;286;180;47.3612127;16.6779269;LocLevel.PRECISE
HEV;Egri;Egerbakta;község;1465;922;47.9355323;20.2905231;LocLevel.PRECISE
GYO;Soproni;Pereszteg;község;1489;937;47.5932256;16.7351763;LocLevel.PRECISE
VES;Pápai;Nagytevel;község;534;336;47.296411;17.5654838;LocLevel.PRECISE
HEV;Pétervásárai;Sirok;község;1744;1097;47.9308649;20.1957821;LocLevel.PRECISE
BAR;Sellyei;Baksa;község;787;495;48.2232612;21.0295939;LocLevel.PRECISE
VES;Sümegi;Sümeg;város;6029;3791;46.9784329;17.2811657;LocLevel.PRECISE
GYO;Téti;Mérges;község;105;66;47.6023653;17.4425748;LocLevel.PRECISE
BOR;Mezőkövesdi;Bükkábrány;község;1623;1020;47.8877699;20.6834042;LocLevel.PRECISE
VES;Zirci;Nagyesztergár;község;1165;732;47.276735;17.9050628;LocLevel.PRECISE
PES;Nagykátai;Tápiószecső;nagyközség;6306;3961;47.4506036;19.6066197;LocLevel.PRECISE
ZAL;Zalaegerszegi;Kisbucsa;község;441;277;46.8154394;16.9421456;LocLevel.PRECISE
TOL;Paksi;Madocsa;község;1921;1206;46.6880707;18.9566974;LocLevel.PRECISE
VES;Tapolcai;Köveskál;község;376;236;46.8814046;17.6056741;LocLevel.PRECISE
KOM;Komáromi;Nagyigmánd;nagyközség;2916;1830;47.6350173;18.076194;LocLevel.PRECISE
SOM;Fonyódi;Visz;község;196;123;46.7260307;17.7830711;LocLevel.PRECISE
VAS;Szentgotthárdi;Vasszentmihály;község;349;219;46.9692493;16.4074373;LocLevel.PRECISE
KOM;Esztergomi;Tokod;nagyközség;4278;2684;47.722785;18.6592985;LocLevel.PRECISE
