megye;jaras;cim;telepules_tipusa;lakossag;vedett;lats;longs;location_levels
Megye;Járás;Település;"Település
típusa";"Állandó lakosság
összesen";Védettségivel rendelkezők száma;48.195393;21.517918;LocLevel.PRECISE
PES;Szobi;Ipolytölgyes;község;319;392;47.9229018;18.7743978;LocLevel.PRECISE
SOM;Marcali;Nemeskisfalud;község;123;148;46.4402514;17.3676659;LocLevel.PRECISE
PES;Szobi;Márianosztra;község;791;792;47.8647873;18.8720666;LocLevel.PRECISE
NOG;Pásztói;Garáb;község;38;38;47.9777174;19.6384458;LocLevel.PRECISE
GYO;Csornai;Pásztori;község;398;379;47.5572596;17.2725503;LocLevel.PRECISE
NOG;Bátonyterenyei;Szuha;község;524;492;47.9781794;19.9176663;LocLevel.PRECISE
NOG;Pásztói;Cserhátszentiván;község;121;107;47.9398734;19.5802698;LocLevel.PRECISE
KOM;Tatabányai;Várgesztes;község;644;554;47.4723494;18.3971059;LocLevel.PRECISE
FEJ;Martonvásári;Tordas;község;2172;1843;47.344615;18.7527252;LocLevel.PRECISE
HEV;Gyöngyösi;Mátraszentimre;község;448;377;47.9095321;19.8798252;LocLevel.PRECISE
VAS;Körmendi;Ivánc;község;643;538;46.9393738;16.4983823;LocLevel.PRECISE
VES;Tapolcai;Révfülöp;nagyközség;1205;993;46.828315;17.6303514;LocLevel.PRECISE
SOM;Siófoki;Zamárdi;város;2665;2191;46.880099;17.9459459;LocLevel.PRECISE
VES;Balatonfüredi;Balatonszepezd;község;443;361;46.8518266;17.6637569;LocLevel.PRECISE
VAS;Körmendi;Szaknyér;község;54;44;46.8643356;16.5276734;LocLevel.PRECISE
VES;Balatonfüredi;Balatonakali;község;718;585;46.8830854;17.7518613;LocLevel.PRECISE
VES;Tapolcai;Kapolcs;község;395;321;46.9559035;17.6089272;LocLevel.PRECISE
VAS;Celldömölki;Keléd;község;90;73;47.0758821;17.1169105;LocLevel.PRECISE
ZAL;Zalaegerszegi;Lakhegy;község;455;367;46.952183;16.8322618;LocLevel.PRECISE
GYO;Soproni;Zsira;község;866;696;47.4560444;16.6807707;LocLevel.PRECISE
BOR;Miskolci;Répáshuta;község;432;347;48.0487762;20.5271494;LocLevel.PRECISE
FEJ;Gárdonyi;Sukoró;község;1860;1493;47.2419579;18.59782;LocLevel.PRECISE
BOR;Edelényi;Irota;község;86;69;48.3982274;20.8758762;LocLevel.PRECISE
VES;Balatonfüredi;Lovas;község;504;404;46.9933669;17.9588089;LocLevel.PRECISE
BOR;Tokaji;Tokaj;város;3771;3018;48.1235534;21.4113895;LocLevel.PRECISE
GYO;Téti;Rábaszentmiklós;község;144;115;47.5379181;17.4171145;LocLevel.PRECISE
VAS;Szombathelyi;Vaskeresztes;község;340;271;47.1939865;16.4486687;LocLevel.PRECISE
VES;Veszprémi;Veszprém;megye székhely;54542;43348;47.0928058;17.9140147;LocLevel.PRECISE
NOG;Pásztói;Alsótold;község;235;186;47.9540746;19.59694;LocLevel.PRECISE
BOR;Tokaji;Bodrogkeresztúr;község;1006;795;48.15876;21.3606584;LocLevel.PRECISE
PES;Dunakeszi;Göd;város;21635;17079;47.6834336;19.1341568;LocLevel.PRECISE
GYO;Pannonhalmi;Pannonhalma;város;3516;2774;47.5502015;17.7541679;LocLevel.PRECISE
GYO;Kapuvári;Mihályi;község;1084;854;47.5157574;17.0950326;LocLevel.PRECISE
FEJ;Székesfehérvári;Székesfehérvár;megye székhely;95093;74914;47.1910169;18.410811;LocLevel.PRECISE
VES;Ajkai;Farkasgyepű;község;351;276;47.2038416;17.6307266;LocLevel.PRECISE
BOR;Encsi;Keresztéte;község;28;22;48.4997424;20.9503804;LocLevel.PRECISE
BOR;Gönci;Sima;község;42;33;48.2986366;21.3020636;LocLevel.PRECISE
BOR;Mezőkövesdi;Tiszavalk;község;298;234;47.6895637;20.7504616;LocLevel.PRECISE
SOM;Tabi;Törökkoppány;község;422;331;46.6013936;18.0506298;LocLevel.PRECISE
VES;Balatonalmádi;Balatonakarattya;község;982;770;47.0239663;18.1439403;LocLevel.PRECISE
FEJ;Gárdonyi;Gárdony;város;12272;9619;47.2028062;18.6261978;LocLevel.PRECISE
BUD;;Budapest                 ;főváros;1662438;1302913;47.4979937;19.0403594;LocLevel.PRECISE
GYO;Győri;Győr;megye székhely;123475;96731;47.687609;17.6346815;LocLevel.PRECISE
GYO;Soproni;Nagylózs;község;1009;789;47.5669714;16.7703934;LocLevel.PRECISE
VAS;Sárvári;Nagygeresd;község;270;211;47.3948689;16.9322219;LocLevel.PRECISE
GYO;Győri;Töltéstava;község;2592;2020;47.6269367;17.7342499;LocLevel.PRECISE
GYO;Csornai;Csorna;város;9836;7649;47.6134153;17.2497955;LocLevel.PRECISE
GYO;Győri;Győrújbarát;község;7739;6016;47.6133844;17.6365733;LocLevel.PRECISE
PES;Pilisvörösvári;Pilisszántó;község;2656;2064;47.6697354;18.886467;LocLevel.PRECISE
GYO;Mosonmagyaróvári;Dunaremete;község;260;202;47.8766438;17.437091;LocLevel.PRECISE
VAS;Szombathelyi;Narda;község;492;382;47.2374828;16.4611886;LocLevel.PRECISE
SOM;Kaposvári;Szentbalázs;község;313;243;46.319168;17.8959647;LocLevel.PRECISE
GYO;Csornai;Dör;község;607;471;47.5979397;17.2987399;LocLevel.PRECISE
VAS;Szombathelyi;Szombathely;megye székhely;75644;58607;47.2291184;16.6187625;LocLevel.PRECISE
PES;Budakeszi;Budaörs;város;29856;23125;47.4600185;18.9541818;LocLevel.PRECISE
VES;Balatonfüredi;Tagyon;község;102;79;46.9023527;17.6803466;LocLevel.PRECISE
SOM;Siófoki;Balatonföldvár;város;2348;1818;46.8491197;17.8792403;LocLevel.PRECISE
GYO;Mosonmagyaróvári;Mosonmagyaróvár;város;32316;25000;47.8731793;17.2722342;LocLevel.PRECISE
PES;Szentendrei;Budakalász;város;11888;9194;47.6192785;19.0468565;LocLevel.PRECISE
PES;Budakeszi;Budakeszi;város;15406;11909;47.5099444;18.929382;LocLevel.PRECISE
FEJ;Gárdonyi;Velence;város;6976;5391;45.4371908;12.3345898;LocLevel.PRECISE
VAS;Szombathelyi;Felsőcsatár;község;484;374;47.2138553;16.4446605;LocLevel.PRECISE
VES;Balatonfüredi;Tihany;község;1354;1046;46.9122292;17.8917574;LocLevel.PRECISE
GYO;Soproni;Sopron;megyei jogú város;57630;44512;47.6803063;16.5983457;LocLevel.PRECISE
SOM;Kaposvári;Sántos;község;499;385;46.3440744;17.8829943;LocLevel.PRECISE
VAS;Szombathelyi;Tanakajd;község;748;577;47.1889449;16.7344505;LocLevel.PRECISE
GYO;Győri;Kunsziget;község;1340;1032;47.7393981;17.5152083;LocLevel.PRECISE
VES;Tapolcai;Badacsonytomaj;város;2189;1685;46.8057988;17.514693;LocLevel.PRECISE
VES;Balatonfüredi;Vászoly;község;269;207;46.9392057;17.7591997;LocLevel.PRECISE
KOM;Tatai;Tata;város;23074;17743;47.6500863;18.3181275;LocLevel.PRECISE
VAS;Szombathelyi;Pornóapáti;község;354;272;47.1560615;16.4658887;LocLevel.PRECISE
PES;Váci;Sződliget;község;4695;3594;47.7299732;19.1473194;LocLevel.PRECISE
PES;Váci;Vác;város;33910;25939;47.7782873;19.1278294;LocLevel.PRECISE
GYO;Soproni;Csér;község;34;26;47.4174522;16.9330194;LocLevel.PRECISE
ZAL;Lenti;Felsőszenterzsébet;község;17;13;46.7525821;16.4551361;LocLevel.PRECISE
VAS;Körmendi;Szarvaskend;község;225;172;46.9887881;16.6765639;LocLevel.PRECISE
PES;Érdi;Törökbálint;város;14467;11058;47.4349579;18.9130312;LocLevel.PRECISE
GYO;Soproni;Sarród;község;959;733;47.6343381;16.8608589;LocLevel.PRECISE
SOM;Siófoki;Balatonendréd;község;1366;1044;46.8362401;17.9765942;LocLevel.PRECISE
GYO;Csornai;Egyed;község;515;393;47.5217162;17.3378908;LocLevel.PRECISE
PES;Érdi;Diósd;város;11144;8503;47.406256;18.9448604;LocLevel.PRECISE
SOM;Csurgói;Somogyudvarhely;község;1010;770;46.1773427;17.1909701;LocLevel.PRECISE
VAS;Szombathelyi;Szentpéterfa;község;1018;776;47.0920255;16.4803941;LocLevel.PRECISE
PES;Pilisvörösvári;Üröm;község;8278;6306;47.5987004;19.0134262;LocLevel.PRECISE
VAS;Körmendi;Hegyhátszentmárton;község;71;54;46.9349943;16.479988;LocLevel.PRECISE
SOM;Kaposvári;Kaposújlak;község;716;544;46.3667854;17.7259097;LocLevel.PRECISE
PES;Gödöllői;Gödöllő;város;31813;24152;47.601529;19.3476981;LocLevel.PRECISE
GYO;Kapuvári;Veszkény;község;958;727;47.5998622;17.0857366;LocLevel.PRECISE
VAS;Körmendi;Egyházashollós;község;547;415;47.0550783;16.6954193;LocLevel.PRECISE
PES;Szentendrei;Visegrád;város;1793;1360;47.7846496;18.9703963;LocLevel.PRECISE
PES;Szobi;Kismaros;község;2519;1910;47.8265758;19.0126276;LocLevel.PRECISE
VES;Pápai;Dáka;község;649;492;23.810651;90.4126466;LocLevel.PRECISE
NOG;Rétsági;Bánk;község;718;544;51.5131048;-0.0893749;LocLevel.PRECISE
FEJ;Bicskei;Etyek;község;4496;3405;47.4448813;18.7504665;LocLevel.PRECISE
NOG;Szécsényi;Hollókő;község;342;259;47.9974741;19.5915708;LocLevel.PRECISE
VAS;Körmendi;Magyarnádalja;község;263;199;47.0095755;16.53259;LocLevel.PRECISE
PES;Gödöllői;Csömör;nagyközség;10098;7636;47.5489158;19.2242144;LocLevel.PRECISE
PES;Pilisvörösvári;Pilisvörösvár;város;14725;11133;47.6210717;18.9115602;LocLevel.PRECISE
VAS;Szombathelyi;Acsád;község;631;477;47.3229798;16.7341853;LocLevel.PRECISE
BOR;Mezőkövesdi;Borsodivánka;község;663;501;47.6988334;20.6563366;LocLevel.PRECISE
VAS;Szombathelyi;Dozmat;község;274;207;47.2338165;16.5144412;LocLevel.PRECISE
CSO;Szegedi;Szeged;megye székhely;160927;121553;46.2546312;20.1486016;LocLevel.PRECISE
SOM;Barcsi;Drávatamási;község;380;287;45.939854;17.5714213;LocLevel.PRECISE
HEV;Bélapátfalvai;Bélapátfalva;város;2800;2113;48.052978;20.3485363;LocLevel.PRECISE
FEJ;Bicskei;Újbarok;község;464;350;47.4785356;18.557874;LocLevel.PRECISE
VES;Balatonfüredi;Monoszló;község;122;92;46.9029011;17.6407499;LocLevel.PRECISE
PES;Budakeszi;Telki;község;4490;3384;47.551193;18.8206574;LocLevel.PRECISE
SOM;Siófoki;Siófok;város;25080;18894;46.9071694;18.0541598;LocLevel.PRECISE
PES;Budakeszi;Nagykovácsi;nagyközség;8784;6616;47.5762363;18.882064;LocLevel.PRECISE
SOM;Csurgói;Berzence;nagyközség;2421;1823;46.2059813;17.148481;LocLevel.PRECISE
HEV;Egri;Noszvaj;község;1914;1441;47.9369531;20.4753593;LocLevel.PRECISE
NOG;Szécsényi;Ludányhalászi;község;1442;1085;48.1346794;19.5242934;LocLevel.PRECISE
PES;Szobi;Perőcsény;község;321;241;47.9952528;18.8611472;LocLevel.PRECISE
PES;Szentendrei;Szentendre;város;28604;21466;47.6677606;19.0760467;LocLevel.PRECISE
PES;Budakeszi;Remeteszőlős;község;1081;811;47.5599735;18.921735;LocLevel.PRECISE
PES;Gödöllői;Nagytarcsa;község;5580;4186;47.5267353;19.2834412;LocLevel.PRECISE
SOM;Kaposvári;Kaposvár;megye székhely;61948;46415;46.3564692;17.7886886;LocLevel.PRECISE
GYO;Csornai;Rábapordány;község;989;741;47.5569204;17.3228724;LocLevel.PRECISE
GYO;Kapuvári;Kapuvár;város;9970;7462;47.5937043;17.0274824;LocLevel.PRECISE
PES;Budakeszi;Biatorbágy;város;14388;10767;47.4739442;18.8232855;LocLevel.PRECISE
GYO;Soproni;Ágfalva;község;2376;1778;47.6905324;16.5137872;LocLevel.PRECISE
PES;Szentendrei;Leányfalu;nagyközség;4011;3001;47.718888;19.0888422;LocLevel.PRECISE
PES;Pilisvörösvári;Solymár;nagyközség;11409;8521;47.5898936;18.9352034;LocLevel.PRECISE
FEJ;Gárdonyi;Pázmánd;község;2242;1674;47.2836305;18.6566197;LocLevel.PRECISE
VES;Tapolcai;Kékkút;község;71;53;46.8506689;17.5599206;LocLevel.PRECISE
SOM;Marcali;Balatonmáriafürdő;község;844;630;46.7015468;17.4074991;LocLevel.PRECISE
NOG;Rétsági;Berkenye;község;718;535;47.8878852;19.072611;LocLevel.PRECISE
BAR;Komlói;Bikal;község;705;525;46.331567;18.2848108;LocLevel.PRECISE
VES;Balatonalmádi;Balatonalmádi;város;10111;7521;47.030277;18.0155756;LocLevel.PRECISE
BAR;Bólyi;Bóly;város;3744;2784;45.9692795;18.5161494;LocLevel.PRECISE
VES;Pápai;Pápakovácsi;község;538;400;47.2656243;17.4860496;LocLevel.PRECISE
VAS;Szombathelyi;Gencsapáti;község;2665;1981;47.2888131;16.5944118;LocLevel.PRECISE
KOM;Tatai;Dunaalmás;község;1733;1288;47.7334366;18.3351245;LocLevel.PRECISE
PES;Váci;Rád;község;1916;1424;47.7920575;19.2179382;LocLevel.PRECISE
HEV;Egri;Eger;megye székhely;51379;38175;47.8989887;20.3743665;LocLevel.PRECISE
PES;Dunakeszi;Dunakeszi;város;43773;32521;47.6316697;19.1294055;LocLevel.PRECISE
VES;Tapolcai;Salföld;község;70;52;46.8339955;17.5501359;LocLevel.PRECISE
PES;Budakeszi;Budajenő;község;2206;1638;47.555673;18.8038041;LocLevel.PRECISE
VAS;Körmendi;Körmend;város;10776;7996;47.0126655;16.6010475;LocLevel.PRECISE
ZAL;Keszthelyi;Ligetfalva;község;62;46;46.8232872;17.060471;LocLevel.PRECISE
NOG;Rétsági;Szendehely;község;1612;1196;47.8553893;19.1049747;LocLevel.PRECISE
PES;Dunakeszi;Csomád;község;1733;1284;47.6549475;19.2367726;LocLevel.PRECISE
VAS;Körmendi;Viszák;község;270;200;46.8823656;16.4972853;LocLevel.PRECISE
NOG;Rétsági;Nőtincs;község;1203;890;47.8821597;19.1404797;LocLevel.PRECISE
TOL;Szekszárdi;Szekszárd;megye székhely;31595;23365;46.3484884;18.701663;LocLevel.PRECISE
GYO;Győri;Rábapatona;község;2647;1957;47.6318338;17.4809501;LocLevel.PRECISE
SOM;Siófoki;Balatonőszöd;község;556;411;46.8069464;17.8002219;LocLevel.PRECISE
GYO;Győri;Abda;község;3355;2478;47.6976818;17.5409829;LocLevel.PRECISE
KOM;Tatabányai;Szomor;község;1136;839;47.5919199;18.6641826;LocLevel.PRECISE
KOM;Esztergomi;Nyergesújfalu;város;7448;5498;47.7607076;18.5543675;LocLevel.PRECISE
VAS;Szombathelyi;Horvátlövő;község;206;152;47.1802484;16.4615113;LocLevel.PRECISE
SOM;Kaposvári;Zselickislak;község;419;309;46.3111058;17.7978214;LocLevel.PRECISE
FEJ;Székesfehérvári;Sárkeresztes;község;1540;1135;47.2525814;18.3525837;LocLevel.PRECISE
BOR;Miskolci;Sajósenye;község;398;293;48.1957091;20.8198577;LocLevel.PRECISE
VES;Balatonfüredi;Balatonfüred;város;13508;9939;46.9567254;17.888892;LocLevel.PRECISE
VAS;Szombathelyi;Vassurány;község;783;576;47.2863994;16.7055444;LocLevel.PRECISE
VES;Zirci;Zirc;város;6663;4900;47.2613795;17.8718188;LocLevel.PRECISE
SZA;Nyíregyházi;Szabolcs;község;359;264;48.1718359;21.4954557;LocLevel.PRECISE
BOR;Sárospataki;Hercegkút;község;672;494;48.3360251;21.5288015;LocLevel.PRECISE
VAS;Szentgotthárdi;Rábagyarmat;község;747;549;46.9427105;16.421771;LocLevel.PRECISE
VAS;Szombathelyi;Vasszécseny;község;1358;998;47.1817551;16.7679618;LocLevel.PRECISE
HAJ;Debreceni;Debrecen;megye székhely;199856;146841;47.531399;21.6259782;LocLevel.PRECISE
VES;Balatonfüredi;Örvényes;község;165;121;46.914828;17.8164988;LocLevel.PRECISE
VAS;Vasvári;Sárfimizdó;község;101;74;46.9411585;16.7150137;LocLevel.PRECISE
PES;Budakeszi;Páty;község;8217;6017;47.514704;18.8271319;LocLevel.PRECISE
VAS;Körmendi;Csákánydoroszló;község;1705;1245;46.9752457;16.5046293;LocLevel.PRECISE
GYO;Csornai;Farád;község;1929;1408;47.606276;17.2019351;LocLevel.PRECISE
BOR;Sátoraljaújhelyi;Alsóregmec;község;196;143;48.4653024;21.6171608;LocLevel.PRECISE
HEV;Gyöngyösi;Pálosvörösmart;község;621;453;47.816098;19.9949532;LocLevel.PRECISE
ZAL;Zalaegerszegi;Teskánd;község;1186;865;46.8546228;16.7793904;LocLevel.PRECISE
PES;Szobi;Zebegény;község;1280;933;47.8002213;18.9090008;LocLevel.PRECISE
VAS;Kőszegi;Peresznye;község;553;403;47.4245879;16.6477989;LocLevel.PRECISE
GYO;Csornai;Kóny;község;2735;1993;47.6316029;17.3601631;LocLevel.PRECISE
PES;Szentendrei;Tahitótfalu;község;6139;4471;47.7541916;19.084289;LocLevel.PRECISE
PES;Szentendrei;Dunabogdány;község;3284;2391;47.7937922;19.0352037;LocLevel.PRECISE
GYO;Mosonmagyaróvári;Lébény;város;3346;2436;47.7354942;17.3906258;LocLevel.PRECISE
VES;Balatonfüredi;Balatonudvari;község;386;281;46.9054215;17.8048202;LocLevel.PRECISE
VES;Tapolcai;Ábrahámhegy;község;606;441;46.8147826;17.5714996;LocLevel.PRECISE
PES;Pilisvörösvári;Pilisszentiván;község;4458;3244;47.6095461;18.8969359;LocLevel.PRECISE
FEJ;Martonvásári;Martonvásár;város;5797;4218;47.3299049;18.7687291;LocLevel.PRECISE
VAS;Szombathelyi;Táplánszentkereszt;község;2591;1885;47.198556;16.696725;LocLevel.PRECISE
GYO;Soproni;Hegykő;község;1611;1172;47.6217031;16.7940826;LocLevel.PRECISE
SOM;Nagyatádi;Nagyatád;város;10279;7475;46.229143;17.3570964;LocLevel.PRECISE
PES;Gödöllői;Kistarcsa;város;13527;9833;47.5447322;19.2636378;LocLevel.PRECISE
ZAL;Letenyei;Bázakerettye;község;739;537;46.5242749;16.7285316;LocLevel.PRECISE
NOG;Pásztói;Felsőtold;község;139;101;47.9682201;19.6093229;LocLevel.PRECISE
HEV;Egri;Felsőtárkány;község;3558;2585;47.9720171;20.4143577;LocLevel.PRECISE
PES;Érdi;Érd;megyei jogú város;70421;51131;47.3772495;18.9213833;LocLevel.PRECISE
PES;Budakeszi;Herceghalom;község;2737;1987;47.496236;18.7448861;LocLevel.PRECISE
SOM;Siófoki;Siójut;község;671;487;46.8794113;18.1387818;LocLevel.PRECISE
VAS;Szombathelyi;Sé;község;1403;1018;59.6749712;14.5208584;LocLevel.PRECISE
SOM;Siófoki;Szántód;község;699;507;46.8693827;17.9045327;LocLevel.PRECISE
PES;Gödöllői;Mogyoród;nagyközség;7457;5407;47.5986636;19.2384215;LocLevel.PRECISE
VES;Balatonfüredi;Csopak;község;2244;1627;46.9734439;17.928852;LocLevel.PRECISE
BAC;Kiskőrösi;Kaskantyú;község;981;711;46.6714618;19.3869842;LocLevel.PRECISE
TOL;Bonyhádi;Bonyhád;város;12731;9227;46.2984212;18.532191;LocLevel.PRECISE
GYO;Csornai;Bősárkány;nagyközség;2164;1568;47.6904548;17.2493747;LocLevel.PRECISE
VAS;Szombathelyi;Perenye;község;686;497;47.2930426;16.5738157;LocLevel.PRECISE
GYO;Mosonmagyaróvári;Darnózseli;község;1615;1170;47.8504906;17.4269011;LocLevel.PRECISE
SOM;Fonyódi;Balatonlelle;város;4884;3537;46.7867617;17.6965209;LocLevel.PRECISE
VES;Balatonalmádi;Balatonfűzfő;város;4486;3248;47.0620043;18.0409677;LocLevel.PRECISE
PES;Szigetszentmiklósi;Taksony;nagyközség;6619;4791;47.3299781;19.0623899;LocLevel.PRECISE
FEJ;Móri;Csókakő;község;1535;1111;47.3563896;18.2757791;LocLevel.PRECISE
HEV;Gyöngyösi;Gyöngyös;város;28164;20368;47.7799838;19.9291176;LocLevel.PRECISE
VES;Pápai;Külsővat;község;711;514;47.2963155;17.225658;LocLevel.PRECISE
NOG;Rétsági;Ősagárd;község;332;240;47.8578715;19.1953614;LocLevel.PRECISE
VAS;Körmendi;Pinkamindszent;község;184;133;47.0388438;16.4839124;LocLevel.PRECISE
VAS;Szombathelyi;Zsennye;község;101;73;47.1129443;16.8162329;LocLevel.PRECISE
PES;Vecsési;Ecser;község;4130;2985;47.4445025;19.3184563;LocLevel.PRECISE
SOM;Siófoki;Balatonszárszó;nagyközség;2279;1647;46.8262918;17.8341937;LocLevel.PRECISE
PES;Szobi;Kemence;község;942;680;48.0171336;18.891553;LocLevel.PRECISE
VAS;Körmendi;Magyarszecsőd;község;424;306;47.0363937;16.6499156;LocLevel.PRECISE
VES;Tapolcai;Taliándörögd;község;686;495;46.9794529;17.5687983;LocLevel.PRECISE
ZAL;Zalaegerszegi;Boncodfölde;község;359;259;46.8686498;16.7384437;LocLevel.PRECISE
VAS;Szombathelyi;Csempeszkopács;község;312;225;47.1549835;16.805321;LocLevel.PRECISE
VES;Balatonfüredi;Alsóörs;község;2029;1463;46.9882663;17.9770715;LocLevel.PRECISE
VAS;Vasvári;Telekes;község;509;367;46.9448141;16.7697532;LocLevel.PRECISE
PES;Vecsési;Vecsés;város;21700;15642;47.4095417;19.2650378;LocLevel.PRECISE
GYO;Győri;Győrújfalu;község;2345;1690;47.7211947;17.6081756;LocLevel.PRECISE
GYO;Kapuvári;Rábakecöl;község;705;508;47.4322157;17.114087;LocLevel.PRECISE
KOM;Tatabányai;Vértessomló;község;1408;1014;47.5111685;18.365137;LocLevel.PRECISE
PES;Érdi;Százhalombatta;város;18655;13434;47.3171992;18.9120948;LocLevel.PRECISE
PES;Váci;Püspökhatvan;község;1407;1013;47.77594;19.3660724;LocLevel.PRECISE
BOR;Szerencsi;Rátka;község;924;665;48.213521;21.2263527;LocLevel.PRECISE
ZAL;Keszthelyi;Hévíz;város;4697;3379;46.7906038;17.1834489;LocLevel.PRECISE
SOM;Csurgói;Porrog;község;196;141;46.2867589;17.0346835;LocLevel.PRECISE
ZAL;Lenti;Csesztreg;község;848;610;46.7167888;16.5151365;LocLevel.PRECISE
VAS;Szombathelyi;Vát;község;665;478;47.282993;16.7758269;LocLevel.PRECISE
GYO;Mosonmagyaróvári;Lipót;község;807;580;47.8613435;17.4616155;LocLevel.PRECISE
GYO;Soproni;Egyházasfalu;község;874;628;47.4650681;16.7654427;LocLevel.PRECISE
TOL;Paksi;Paks;város;18179;13052;46.6229468;18.8589364;LocLevel.PRECISE
PES;Szobi;Verőce;község;4003;2873;47.8230548;19.0339651;LocLevel.PRECISE
GYO;Soproni;Fertőszentmiklós;város;3864;2772;47.588634;16.8774268;LocLevel.PRECISE
VAS;Szombathelyi;Bucsu;község;601;431;47.261772;16.4944301;LocLevel.PRECISE
VAS;Sárvári;Vasegerszeg;község;357;256;47.3729793;16.9207793;LocLevel.PRECISE
GYO;Kapuvári;Osli;község;919;659;47.6401697;17.0749299;LocLevel.PRECISE
BAC;Tiszakécskei;Tiszaug;község;933;669;46.8516867;20.0579352;LocLevel.PRECISE
ZAL;Lenti;Alsószenterzsébet;község;53;38;46.7452636;16.4772901;LocLevel.PRECISE
FEJ;Bicskei;Gánt;község;795;570;51.0538286;3.7250121;LocLevel.PRECISE
NOG;Rétsági;Kétbodony;község;466;334;47.9354371;19.284937;LocLevel.PRECISE
KOM;Kisbéri;Aka;község;247;177;43.0033629;41.0192741;LocLevel.PRECISE
VAS;Szombathelyi;Vasasszonyfa;község;388;278;47.3123919;16.6718677;LocLevel.PRECISE
FEJ;Móri;Magyaralmás;község;1647;1180;47.2956951;18.3241789;LocLevel.PRECISE
VES;Balatonfüredi;Zánka;község;1012;725;46.8729306;17.6833856;LocLevel.PRECISE
BAR;Pécsi;Keszü;község;1421;1018;46.0169618;18.1918084;LocLevel.PRECISE
BOR;Sátoraljaújhelyi;Mikóháza;község;557;399;48.4651541;21.5907716;LocLevel.PRECISE
VAS;Sárvári;Répcelak;város;2568;1839;47.4195089;17.0154287;LocLevel.PRECISE
PES;Szentendrei;Csobánka;község;3587;2568;47.6436909;18.9672147;LocLevel.PRECISE
ZAL;Zalaegerszegi;Zalaegerszeg;megye székhely;56177;40218;46.8415803;16.8456316;LocLevel.PRECISE
VAS;Körmendi;Egyházasrádóc;község;1305;934;47.0886895;16.6161599;LocLevel.PRECISE
PES;Szentendrei;Pilisszentkereszt;község;2217;1586;47.6931455;18.9024298;LocLevel.PRECISE
VES;Balatonfüredi;Paloznak;község;569;407;46.9833457;17.9408772;LocLevel.PRECISE
VAS;Körmendi;Kisrákos;község;179;128;46.8576511;16.5011229;LocLevel.PRECISE
FEJ;Székesfehérvári;Lovasberény;község;2706;1935;47.3031905;18.5628926;LocLevel.PRECISE
ZAL;Zalaegerszegi;Zalaszentiván;község;1042;745;46.8917607;16.8972474;LocLevel.PRECISE
FEJ;Martonvásári;Kajászó;község;1168;835;47.3264844;18.7217551;LocLevel.PRECISE
GYO;Csornai;Rábatamási;község;1026;733;47.5885576;17.1696987;LocLevel.PRECISE
BOR;Edelényi;Varbóc;község;63;45;48.4645394;20.6449496;LocLevel.PRECISE
VES;Balatonalmádi;Balatonkenese;város;2747;1960;47.0349778;18.1079681;LocLevel.PRECISE
FEJ;Székesfehérvári;Bakonykúti;község;164;117;47.2455037;18.1980235;LocLevel.PRECISE
PES;Váci;Penc;község;1563;1115;47.8024259;19.2513708;LocLevel.PRECISE
GYO;Győri;Nyúl;község;4543;3239;47.5899177;17.6889689;LocLevel.PRECISE
GYO;Soproni;Röjtökmuzsaj;község;432;308;47.5561687;16.8351916;LocLevel.PRECISE
BAR;Pécsváradi;Mecseknádasd;község;1577;1124;46.2244052;18.4645171;LocLevel.PRECISE
PES;Pilisvörösvári;Pilisborosjenő;község;4198;2991;47.606931;18.9918085;LocLevel.PRECISE
VES;Tapolcai;Balatonederics;község;1071;763;46.8091396;17.3813106;LocLevel.PRECISE
NOG;Balassagyarmati;Balassagyarmat;város;14628;10418;48.0768832;19.2926037;LocLevel.PRECISE
PES;Dunakeszi;Fót;város;20999;14955;47.6125871;19.1980105;LocLevel.PRECISE
GYO;Kapuvári;Kisfalud;község;719;512;47.5294255;17.0883689;LocLevel.PRECISE
VES;Veszprémi;Bánd;község;691;492;47.1220366;17.7795783;LocLevel.PRECISE
VAS;Sárvári;Ikervár;község;1727;1229;47.2082081;16.8953858;LocLevel.PRECISE
GYO;Soproni;Fertőendréd;község;624;444;47.6049418;16.907214;LocLevel.PRECISE
PES;Budakeszi;Perbál;község;2156;1534;47.5912451;18.759802;LocLevel.PRECISE
ZAL;Nagykanizsai;Pölöskefő;község;388;276;46.6026674;16.9468304;LocLevel.PRECISE
PES;Aszódi;Hévízgyörk;község;3299;2346;47.6303011;19.5190457;LocLevel.PRECISE
PES;Szentendrei;Pomáz;város;18464;13125;47.6468212;19.0236304;LocLevel.PRECISE
GYO;Mosonmagyaróvári;Máriakálnok;község;2139;1520;47.861884;17.3243281;LocLevel.PRECISE
BAR;Pécsi;Pécs;megye székhely;145468;103302;46.0765883;18.2280397;LocLevel.PRECISE
PES;Érdi;Tárnok;nagyközség;10404;7388;47.3668787;18.8660065;LocLevel.PRECISE
SOM;Kaposvári;Orci;község;555;394;46.4067019;17.87331;LocLevel.PRECISE
PES;Váci;Őrbottyán;város;7820;5551;47.6827581;19.263848;LocLevel.PRECISE
PES;Ráckevei;Szigetszentmárton;község;2496;1771;47.2286092;18.9576052;LocLevel.PRECISE
VES;Veszprémi;Eplény;község;522;370;47.2080297;17.9167432;LocLevel.PRECISE
FEJ;Martonvásári;Gyúró;község;1308;927;47.3676404;18.7408651;LocLevel.PRECISE
