sorszam;megye;jaras_v_kerulet;intezmeny_nev;cim;dolgozo_letszam;ferohely;cpoz_dolgozo_szam;cpoz_gondozott_szam;cpoz_dolgozo_korhazi_ellatas;cpoz_gondozott_korhazi_ellatas;cpoz_dolgozo_elhunyt;cpoz_gondozott_elhunyt;cpoz_dolgozo_gyogyult;cpoz_gondozott_gyogyult;lats;longs;location_levels
66.0;Budapest;X. kerület;Aranykereszt Ápoló Otthon Közhasznú Nonprofit Kft.;1106 Budapest,Jászberényi út 82.;67.0;105.0;1.0;5.0;0.0;1.0;0.0;0.0;0.0;0.0;47.4897378;19.1596821;LocLevel.PRECISE
1.0;Bács-Kiskun ;Kiskőrösi ;Magyarországi Baptista Egyház Filadelfia Integrált Szociális Intézmény;6200 Kiskőrös Seres Sámuel utca 12.;88.0;120;28.0;59.0;0.0;3.0;0.0;9.0;22.0;47.0;46.622812468039264;19.285482409548003;LocLevel.POSTCODE
2.0;Bács-Kiskun;Kiskőrösi ;Jó Pásztor Szeretet Otthon;6200 Kiskőrös, Rákóczi u. 165.;34.0;39;11.0;30.0;0.0;2.0;0.0;1.0;1.0;0.0;46.622812468039264;19.285482409548003;LocLevel.POSTCODE
3.0;Bács-Kiskun;Kiskőrösi ;Csendes Ősz Idősek Otthona;6237 Kecel, Szabadság tér 11.;25.0;57;6.0;31.0;0.0;0.0;0.0;6.0;6.0;25.0;46.5227845;19.2551571;LocLevel.PRECISE
4.0;Bács-Kiskun;Kiskőrösi ;Egészségügyi, Gyermekjóléti és Szociális Intézmény, Idősek otthona;6200 Kiskőrös Sárkány József u.13.;27.0;58;7.0;40.0;0.0;0.0;0.0;8.0;7.0;32.0;46.6291787;19.2916611;LocLevel.PRECISE
5.0;Bács-Kiskun;Kiskőrösi ;Aranyfürt Idősek Otthona;6070 Izsák, Kossuth L. u. 49.;22.0;52;3.0;32.0;0.0;0.0;0.0;3.0;3.0;29.0;46.80531605214441;19.3581217145598;LocLevel.POSTCODE
6.0;Bács-Kiskun;Bajai;Borostyán Gondozóház;6346 Sükösd, Dózsa Gy. u. 195.;17.0;39;8.0;27.0;0.0;1.0;0.0;7.0;7.0;16.0;46.28512447361042;18.99330517405307;LocLevel.POSTCODE
7.0;Bács- Kiskun;Bajai;Bácsborsódi Őszi Napfény egyesített szociális intézmény, Garai telephelye;6522 Gara, Köztársaság 1;163.0;250;53.0;121.0;0.0;0.0;0.0;5.0;53.0;116.0;46.0283423;19.0464376;LocLevel.PRECISE
8.0;Bács-Kiskun;Bajai;Felsőszentiváni Szociális Szolgáltató Intézmény Idősek Otthona;6447 Felsőszentiván , Rákóczi.u.81;45.0;65;9.0;23.0;0.0;1.0;0.0;7.0;9.0;14.0;46.196414344416034;19.188107737041012;LocLevel.POSTCODE
9.0;Bács-Kiskun;Bácsalmási ;Bácsborsódi „Őszi Napfény” Integrált Szociális Intézmény;6455 Katymár Sándor tanya 20;31.0;70;1.0;6.0;0.0;0.0;0.0;0.0;1.0;6.0;46.03261064885513;19.20662074248546;LocLevel.POSTCODE
10.0;Bács-Kiskun;Kecskeméti;"""Harmónia"" Integrált Szociális Intézmény Lajosmizse";6050 Lajosmizse, Dózsa György út 2.;67.0;160;26.0;73.0;0.0;0.0;0.0;17.0;26.0;56.0;47.0256356;19.5586764;LocLevel.PRECISE
11.0;Bács-Kiskun;Kecskeméti;Aranykor Időskorúak Otthona;6035 Ballószög, Aranykor út 38.;62.0;150;11.0;48.0;0.0;3.0;0.0;13.0;11.0;32.0;46.8526437;19.5947626;LocLevel.PRECISE
12.0;Bács-Kiskun;Tiszakécskei;Berecz Skolasztika Szociális intézmény;6064 Tiszaug, Rákóczi út 49.;19.0;36;15.0;34.0;0.0;0.0;0.0;1.0;15.0;33.0;46.853319896082624;20.061387056909794;LocLevel.POSTCODE
13.0;Bács-Kiskun;Tiszakécskei;Katolikus Szeretetszolgálat PAX Otthona;6067 Tiszaalpár, Istvánújfalu 87.;48.0;91;21.0;40.0;0.0;0.0;0.0;12.0;21.0;28.0;46.7910484325759;19.994301161509906;LocLevel.POSTCODE
14.0;Bács-Kiskun;Tiszakécskei;Tavirózsa Nyugdíjas Otthon;6066 Tiszaalpár, Ady Endre utca 102. ;17.0;35;2.0;6.0;0.0;0.0;0.0;4.0;2.0;2.0;46.8127634;20.0003238;LocLevel.PRECISE
15.0;Bács-Kiskun;Kecskeméti;Bács-Kiskun Megyei Platán Integrált Szociális Intézmény;6000 Kecskemét Szent László város 1.;93.0;220;20.0;75.0;0.0;0.0;0.0;6.0;20.0;69.0;46.8925632;19.6939225;LocLevel.PRECISE
16.0;Bács-Kiskun;Tiszakécskei;Bács -Kiskun Megyei Platán Integrált Szociális Intézmény  Szőke Tisza Otthona és Zöld Sziget Lakóotthona;6064 Tiszaug, Ságvári út 6.;70.0;124;25.0;88.0;0.0;0.0;0.0;1.0;25.0;87.0;46.853319896082624;20.061387056909794;LocLevel.POSTCODE
17.0;Bács-Kiskun;Kunszentmiklósi;Adventista Egyesített Szociális Intézmény;6098 Tass, Dózsa György utca 10. ;15.0;30;1.0;2.0;0.0;0.0;0.0;2.0;1.0;0.0;47.02113020302916;19.02610871548012;LocLevel.POSTCODE
18.0;"Bács-Kiskun
";Kiskunfélegyháza;"Szivárvány
Személyes
Gondoskodást
Nyújtó
Intézmény";6100 Kiskunfélegyháza, Csanyi út 4.;82.0;108;17.0;56.0;0.0;0.0;0.0;27.0;15.0;29.0;46.7036265;19.857185;LocLevel.PRECISE
19.0;Bács-Kiskun ;Kiskunmajsai;Orgona Református Egyesített Szociális Intézmény ;6120 Kiskunmajsa Fő utca 2.;51.0;100;17.0;56.0;0.0;1.0;0.0;6.0;16.0;49.0;46.4889343;19.7401829;LocLevel.PRECISE
20.0;Bács-Kiskun ;Jánoshalmai;Magyar Máltai Szeretetszolgálat Gondviselés Háza Jánoshalma;6440 Jánoshalma Hunyadi utca 2.;37.0;75;14.0;38.0;0.0;1.0;0.0;1.0;0.0;1.0;46.296787000946125;19.327808984143825;LocLevel.POSTCODE
21.0;Bács-Kiskun ;Kiskunhalasi;Ékes Kapu Református Fogyatékos Ápoló-Gondozó Otthon;6400 Kiskunhalas, Magyar utca 20.;21.0;35;15.0;29.0;0.0;0.0;0.0;0.0;15.0;29.0;46.431465;19.476798;LocLevel.PRECISE
22.0;Bács-Kiskun ;Kiskunhalasi;"Bács-Kiskun megyei ""Bárka""Integrált Szociális Intézmény";6422 Tompa, Szabadföld 47.;85.0;137;12.0;4.0;0.0;4.0;0.0;0.0;8.0;0.0;46.20708884200592;19.536406991186592;LocLevel.POSTCODE
23.0;Bács-Kiskun ;Kiskunmajsai;Szent László Alapszolgáltatási Központ;6133 Jászszentlászló Hunyadi u.2.;19.0;21;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;46.5672779;19.7638589;LocLevel.PRECISE
24.0;Bács-Kiskun;Kecskeméti;Egészségügyi és Szociális Intézmények Igazgatósága Margaréta Otthon;6000 Kecskemét Nyíri út 77/A.;84.0;246;21.0;71.0;0.0;0.0;0.0;10.0;21.0;59.0;46.9084698;19.6803883;LocLevel.PRECISE
25.0;Bács-Kiskun;Tiszakécskei;Gondozási Központ;6066 Tiszaalpár, Dózsa Gy. u. 71. ;13.0;25;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;46.82353259397999;19.98579023857943;LocLevel.POSTCODE
26.0;Bács-Kiskun;Kalocsai;Kalocsa Város Önkormányzata Szociális Központ;6300 Kalocsa Bem Apó utca 19;35.0;71;6.0;16.0;0.0;4.0;0.0;10.0;6.0;2.0;46.5297115;18.9939055;LocLevel.PRECISE
27.0;Bács-Kiskun;Bácsalmási ;Bácsborsódi Őszi Napfény egyesített szoc intézmény, Bácsborsódi  telephelye;6454 Bácsborsód,Dózsa György u.9;115.0;210;17.0;96.0;0.0;1.0;0.0;15.0;17.0;80.0;46.0972709;19.1599877;LocLevel.PRECISE
28.0;Bács-Kiskun;Bajai;"Cédrus Református Egyesített
Szociális Intézmény
";6500 Baja, Pokorny J.u.1-3. ;30.0;80;5.0;39.0;0.0;0.0;0.0;3.0;5.0;36.0;46.17250585473715;18.958407875253638;LocLevel.POSTCODE
29.0;Bács-Kiskun ;Kiskőrösi ;Császártöltési Idősek Otthona;6239, Császártöltés, Kossuth L. u. 6.;14.0;30;1.0;6.0;0.0;0.0;0.0;0.0;1.0;0.0;46.42327941562688;19.183514995959978;LocLevel.POSTCODE
30.0;"Bács-Kiskun
";Kiskunfélegyháza;"Szivárvány
Személyes
Gondoskodást
Nyújtó
Intézmény";6100 Kiskunfélegyháza, Nádasdy u. 12.;52.0;75;18.0;30.0;0.0;4.0;0.0;9.0;18.0;17.0;46.719471;19.8450925;LocLevel.PRECISE
31.0;Bács-Kiskun;Bajai;"Cédrus Református Egyesített
Szociális Intézmény
";6500 Baja, Móra u. 1-3. ;31.0;89;2.0;12.0;0.0;0.0;0.0;9.0;2.0;3.0;46.17250585473715;18.958407875253638;LocLevel.POSTCODE
