telepules;elhunytak;nepesseg;lats;longs;location_levels
Tápiószele;6;6235;47.3320634;19.875582;LocLevel.PRECISE
Tápiószőlős;6;3048;47.2958281;19.8337577;LocLevel.PRECISE
Tar;6;1870;-28.8166236;24.991639;LocLevel.PRECISE
Tiszacsege;6;4644;47.6975481;20.9935969;LocLevel.PRECISE
Tiszalúc;6;5085;48.0345861;21.0630541;LocLevel.PRECISE
Tokod;6;4221;47.722785;18.6592985;LocLevel.PRECISE
Úri;6;2624;46.7864413;8.6420159;LocLevel.PRECISE
Üröm;6;7845;47.5987004;19.0134262;LocLevel.PRECISE
Vásárosdombó;6;1132;46.305546;18.132263;LocLevel.PRECISE
Vép;6;3364;47.2308177;16.723032;LocLevel.PRECISE
Arnót;5;2446;48.1338948;20.8592384;LocLevel.PRECISE
Ártánd;5;645;47.1237274;21.7598886;LocLevel.PRECISE
Bábolna;5;3547;47.642224;17.9787467;LocLevel.PRECISE
Bácsborsód;5;1154;46.0974022;19.1583982;LocLevel.PRECISE
Bakonynána;5;1027;47.2819705;17.9692327;LocLevel.PRECISE
Baks;5;2008;46.5495087;20.1071453;LocLevel.PRECISE
Balatonboglár;5;5883;46.7785548;17.6553063;LocLevel.PRECISE
Balatonszabadi;5;3013;46.8913312;18.133571;LocLevel.PRECISE
Biharkeresztes;5;4386;47.1313432;21.7191678;LocLevel.PRECISE
Bordány;5;3257;46.3216659;19.9216744;LocLevel.PRECISE
Borsodszentgyörgy;5;1203;48.1880952;20.2033107;LocLevel.PRECISE
Bükkszenterzsébet;5;1019;48.0507263;20.1554581;LocLevel.PRECISE
Cibakháza;5;3989;46.9590236;20.2062362;LocLevel.PRECISE
Csanádpalota;5;2821;46.2440484;20.723398;LocLevel.PRECISE
Csór;5;1901;47.204993;18.2569467;LocLevel.PRECISE
Csurgó;5;4905;46.2642514;17.0950874;LocLevel.PRECISE
Dány;5;4473;47.5222089;19.5508325;LocLevel.PRECISE
Délegyháza;5;4764;47.247818;19.066912;LocLevel.PRECISE
Diósjenő;5;2964;47.9395202;19.0437008;LocLevel.PRECISE
Domaszék;5;5114;46.2460831;19.9992805;LocLevel.PRECISE
Dunabogdány;5;3257;47.7937922;19.0352037;LocLevel.PRECISE
Előszállás;5;2323;46.8316103;18.8219252;LocLevel.PRECISE
Érpatak;5;1789;47.8086855;21.7583427;LocLevel.PRECISE
Érsekvadkert;5;3640;47.9960713;19.1989343;LocLevel.PRECISE
Etyek;5;4373;47.4448813;18.7504665;LocLevel.PRECISE
Felsőpakony;5;3782;47.3432696;19.2362156;LocLevel.PRECISE
Fertőszentmiklós;5;3803;47.588634;16.8774268;LocLevel.PRECISE
Földeák;5;3075;46.3193648;20.4937841;LocLevel.PRECISE
Fülöpszállás;5;2323;46.8200875;19.2395832;LocLevel.PRECISE
Galgagyörk;5;979;47.7406871;19.3752627;LocLevel.PRECISE
Görbeháza;5;2410;47.8188298;21.2379579;LocLevel.PRECISE
Gyöngyöshalász;5;2625;47.7394892;19.9147492;LocLevel.PRECISE
Halmaj;5;1684;48.2462494;21.0016795;LocLevel.PRECISE
Hernádnémeti;5;3606;48.0711901;20.9770518;LocLevel.PRECISE
Hodász;5;3390;47.9168268;22.2046402;LocLevel.PRECISE
Hosszúhetény;5;3464;46.1613038;18.3527689;LocLevel.PRECISE
Hunya;5;621;46.8119535;20.8442981;LocLevel.PRECISE
Jánoshida;5;2563;47.3839188;20.0565734;LocLevel.PRECISE
Jászdózsa;5;2125;47.566305;20.0157116;LocLevel.PRECISE
Jászfényszaru;5;5818;47.5692314;19.7168149;LocLevel.PRECISE
Jásztelek;5;1580;47.481372;20.0023081;LocLevel.PRECISE
Kálmánháza;5;1882;47.8734276;21.5772185;LocLevel.PRECISE
Kaposszekcső;5;1496;46.3296936;18.1299521;LocLevel.PRECISE
Karancsalja;5;1521;48.1336594;19.7518849;LocLevel.PRECISE
Kehidakustány;5;1080;46.8429994;17.0943015;LocLevel.PRECISE
Kisköre;5;2814;47.4994568;20.4925043;LocLevel.PRECISE
Kisléta;5;1776;47.8340953;22.0034849;LocLevel.PRECISE
Kismarja;5;1306;47.248129;21.8221047;LocLevel.PRECISE
Kiszombor;5;3880;46.1889728;20.4270576;LocLevel.PRECISE
Komádi;5;5562;47.0013136;21.488646;LocLevel.PRECISE
Kunágota;5;2743;46.4233892;21.0489809;LocLevel.PRECISE
Lábod;5;1881;46.2077491;17.4540815;LocLevel.PRECISE
Lad;5;592;46.1396459;17.64575;LocLevel.PRECISE
Legyesbénye;5;1487;48.1602248;21.1495954;LocLevel.PRECISE
Lovasberény;5;2676;47.3031905;18.5628926;LocLevel.PRECISE
Lukácsháza;5;1114;47.3365403;16.5815936;LocLevel.PRECISE
Mágocs;5;2313;46.349833;18.2285903;LocLevel.PRECISE
Markaz;5;1737;47.8266709;20.0547595;LocLevel.PRECISE
Miske;5;1754;46.4423649;19.0320713;LocLevel.PRECISE
Mocsa;5;2141;47.6692513;18.181483;LocLevel.PRECISE
Monorierdő;5;4772;47.3082881;19.4993272;LocLevel.PRECISE
Múcsony;5;2969;48.2697977;20.680282;LocLevel.PRECISE
Nádasd;5;1326;46.9650682;16.6129001;LocLevel.PRECISE
Nagycserkesz;5;1746;47.9641355;21.5534409;LocLevel.PRECISE
Nagyvarsány;5;1426;48.1602115;22.278372;LocLevel.PRECISE
Nógrádmegyer;5;1671;48.0692288;19.6255231;LocLevel.PRECISE
Nyárlőrinc;5;2351;46.8605244;19.8740931;LocLevel.PRECISE
Nyársapát;5;2129;47.1011746;19.801682;LocLevel.PRECISE
Nyírgyulaj;5;2033;47.882828;22.0896587;LocLevel.PRECISE
Nyírlugos;5;2770;47.6920499;22.0417654;LocLevel.PRECISE
Nyírpazony;5;3688;47.9808396;21.7990918;LocLevel.PRECISE
Örményes;5;1017;47.1909035;20.5676271;LocLevel.PRECISE
Ostoros;5;2744;47.8669963;20.4288434;LocLevel.PRECISE
Oszkó;5;618;47.0464985;16.8745229;LocLevel.PRECISE
Pannonhalma;5;3519;47.5502015;17.7541679;LocLevel.PRECISE
Penészlek;5;1021;47.6349848;22.1433664;LocLevel.PRECISE
Piliscsaba;5;8234;47.6329416;18.8261229;LocLevel.PRECISE
Piliscsév;5;2509;47.673439;18.8184572;LocLevel.PRECISE
Pocsaj;5;2770;47.2821487;21.8048015;LocLevel.PRECISE
Prügy;5;2526;48.0806544;21.2451536;LocLevel.PRECISE
Ramocsaháza;5;1519;48.0408934;21.9892728;LocLevel.PRECISE
Ricse;5;1868;48.3232066;21.9724499;LocLevel.PRECISE
Romhány;5;2184;47.9215061;19.2590383;LocLevel.PRECISE
Röszke;5;3584;46.1872427;20.0354983;LocLevel.PRECISE
Rózsaszentmárton;5;2002;47.7828558;19.7419306;LocLevel.PRECISE
Sajóbábony;5;2730;48.1750425;20.738743;LocLevel.PRECISE
Sármellék;5;1843;46.7080843;17.1682755;LocLevel.PRECISE
Sárszentmihály;5;3148;47.1543829;18.3263027;LocLevel.PRECISE
Szany;5;2147;47.4617917;17.3048321;LocLevel.PRECISE
Szászvár;5;2339;46.2744086;18.3783088;LocLevel.PRECISE
Szentgyörgyvölgy;5;393;46.7245868;16.4107756;LocLevel.PRECISE
Szentistván;5;2353;47.7714601;20.6633045;LocLevel.PRECISE
Szentkirály;5;1929;46.9212567;19.9194732;LocLevel.PRECISE
Szerep;5;1569;47.2274297;21.1410165;LocLevel.PRECISE
Szob;5;2650;47.8183245;18.8727585;LocLevel.PRECISE
Tápióbicske;5;3647;47.3622153;19.6867465;LocLevel.PRECISE
Tát;5;5471;47.7398038;18.6543708;LocLevel.PRECISE
Tiszadob;5;2746;48.0094768;21.1668435;LocLevel.PRECISE
Tiszaeszlár;5;2646;48.0355119;21.4577541;LocLevel.PRECISE
Tiszasas;5;1077;46.8211139;20.0799597;LocLevel.PRECISE
Tompa;5;4702;46.2049292;19.5374011;LocLevel.PRECISE
Tunyogmatolcs;5;2549;47.9706517;22.4582423;LocLevel.PRECISE
Vaja;5;3683;47.9990668;22.1715133;LocLevel.PRECISE
Várgesztes;5;631;47.4723494;18.3971059;LocLevel.PRECISE
Varsány;5;1594;48.0388158;19.4902093;LocLevel.PRECISE
Zalalövő;5;2879;46.8461983;16.5852286;LocLevel.PRECISE
Zsadány;5;1638;46.92174;21.4861925;LocLevel.PRECISE
Zselickislak;5;430;46.3111058;17.7978214;LocLevel.PRECISE
Abaújszántó;4;2986;48.278706;21.1855002;LocLevel.PRECISE
Adács;4;2629;47.691546;19.9751962;LocLevel.PRECISE
Ádánd;4;2150;46.8570109;18.1541377;LocLevel.PRECISE
Adony;4;3931;47.1208993;18.8631074;LocLevel.PRECISE
Ágfalva;4;2370;47.6905324;16.5137872;LocLevel.PRECISE
Alap;4;1956;46.8044751;18.6854298;LocLevel.PRECISE
Alsónémedi;4;5337;47.3146713;19.165704;LocLevel.PRECISE
Arló;4;3898;48.176668;20.2541957;LocLevel.PRECISE
Ásványráró;4;2053;47.8299324;17.4996843;LocLevel.PRECISE
Átány;4;1525;47.6165092;20.3628057;LocLevel.PRECISE
Baktalórántháza;4;3770;47.9994207;22.0793592;LocLevel.PRECISE
Balatonalmádi;4;9823;47.035766;18.0200896;LocLevel.PRECISE
Balatonendréd;4;1367;46.8362401;17.9765942;LocLevel.PRECISE
Balatonkenese;4;2688;47.0349778;18.1079681;LocLevel.PRECISE
Baracska;4;2786;47.2857906;18.7575803;LocLevel.PRECISE
Baté;4;796;46.3589904;17.9627787;LocLevel.PRECISE
Békéssámson;4;2413;46.4159576;20.622012;LocLevel.PRECISE
Beremend;4;2441;45.7847076;18.4345572;LocLevel.PRECISE
Berhida;4;5917;47.1109931;18.1339369;LocLevel.PRECISE
Boldog;4;2977;47.6012001;19.6954291;LocLevel.PRECISE
Bugyi;4;5363;47.221978;19.1490336;LocLevel.PRECISE
Bükkábrány;4;1652;47.8877699;20.6834042;LocLevel.PRECISE
Csátalja;4;1496;46.0365272;18.944609;LocLevel.PRECISE
Csetény;4;1860;47.3171578;17.9962766;LocLevel.PRECISE
Csorvás;4;4906;46.6348863;20.8347918;LocLevel.PRECISE
Darnózseli;4;1584;47.8504906;17.4269011;LocLevel.PRECISE
Daruszentmiklós;4;1283;46.8584251;18.8462522;LocLevel.PRECISE
Dejtár;4;1450;48.037781;19.1712049;LocLevel.PRECISE
Detk;4;1140;47.7475326;20.0992971;LocLevel.PRECISE
Drégelypalánk;4;1459;48.0520987;19.0440957;LocLevel.PRECISE
Dunaalmás;4;1620;47.7334366;18.3351245;LocLevel.PRECISE
Dunapataj;4;3155;46.6442755;18.9990105;LocLevel.PRECISE
Dunaszekcső;4;1892;46.0848787;18.7596125;LocLevel.PRECISE
Dunaszentbenedek;4;812;46.5938701;18.894405;LocLevel.PRECISE
Ebes;4;4751;47.4712353;21.4914725;LocLevel.PRECISE
Encsencs;4;1949;47.744204;22.1144108;LocLevel.PRECISE
Ercsi;4;8420;47.2519697;18.8983773;LocLevel.PRECISE
Érsekcsanád;4;2950;46.2519797;18.9822596;LocLevel.PRECISE
Fadd;4;4233;46.4663938;18.8252567;LocLevel.PRECISE
Felsőpetény;4;599;47.88909;19.198011;LocLevel.PRECISE
Felsőtárkány;4;3552;47.9720171;20.4143577;LocLevel.PRECISE
Fertőd;4;3292;47.6216447;16.8645968;LocLevel.PRECISE
Füzesgyarmat;4;5650;47.1045582;21.2106131;LocLevel.PRECISE
Geszteréd;4;1789;47.7645074;21.7782735;LocLevel.PRECISE
Gönc;4;2032;48.4724881;21.2726277;LocLevel.PRECISE
Gyulaháza;4;1987;48.1379398;22.1117329;LocLevel.PRECISE
Hajdúszovát;4;3174;47.3904072;21.4750896;LocLevel.PRECISE
Hédervár;4;1238;47.8317006;17.4579729;LocLevel.PRECISE
Hőgyész;4;2803;46.4956982;18.4188957;LocLevel.PRECISE
Hollókő;4;323;47.9974741;19.5915708;LocLevel.PRECISE
Hosszúpályi;4;5947;47.39177;21.7335185;LocLevel.PRECISE
Ipolyszög;4;635;48.0546144;19.2318454;LocLevel.PRECISE
Iregszemcse;4;2656;46.6930094;18.183599;LocLevel.PRECISE
Jakabszállás;4;2709;46.7614921;19.6007791;LocLevel.PRECISE
Jánossomorja;4;6119;47.7859228;17.1364228;LocLevel.PRECISE
Járdánháza;4;1797;48.1576987;20.2510392;LocLevel.PRECISE
Jászalsószentgyörgy;4;3427;47.3718457;20.0911454;LocLevel.PRECISE
Jászfelsőszentgyörgy;4;1853;47.5086155;19.7926903;LocLevel.PRECISE
Jászszentlászló;4;2512;46.5679444;19.7603182;LocLevel.PRECISE
Jobaháza;4;555;47.5817526;17.1864967;LocLevel.PRECISE
Káloz;4;2407;46.9552227;18.4823562;LocLevel.PRECISE
Kapolcs;4;381;46.9559035;17.6089272;LocLevel.PRECISE
Kápolnásnyék;4;3880;47.237503;18.6722759;LocLevel.PRECISE
Karád;4;1571;46.6934534;17.8385506;LocLevel.PRECISE
Kaskantyú;4;995;46.6714618;19.3869842;LocLevel.PRECISE
Kecskéd;4;2085;47.5240181;18.3076032;LocLevel.PRECISE
Kocs;4;2594;47.6054999;18.2132002;LocLevel.PRECISE
Kóny;4;2723;47.6316029;17.3601631;LocLevel.PRECISE
Kosd;4;2479;47.8068226;19.1758423;LocLevel.PRECISE
Kulcs;4;3282;47.0529379;18.9163165;LocLevel.PRECISE
Kunsziget;4;1288;47.7393981;17.5152083;LocLevel.PRECISE
Kurityán;4;1575;48.313992;20.6209451;LocLevel.PRECISE
Lébény;4;3279;47.7354942;17.3906258;LocLevel.PRECISE
Levelek;4;2992;47.9654436;21.9868073;LocLevel.PRECISE
Maklár;4;2445;47.8043193;20.413119;LocLevel.PRECISE
Martonvásár;4;5743;47.3299049;18.7687291;LocLevel.PRECISE
Mátraballa;4;753;47.9831146;20.0198909;LocLevel.PRECISE
Mátraderecske;4;1822;47.94966;20.0827995;LocLevel.PRECISE
Mátraterenye;4;1774;48.0309786;19.9483115;LocLevel.PRECISE
Mezőcsát;4;5950;47.8175357;20.903168;LocLevel.PRECISE
Mihályi;4;1106;47.5157574;17.0950326;LocLevel.PRECISE
Mogyoród;4;7021;47.5986636;19.2384215;LocLevel.PRECISE
Monok;4;1504;48.2121842;21.1497677;LocLevel.PRECISE
Murony;4;1230;46.7618154;21.038963;LocLevel.PRECISE
Nagyberki;4;1450;46.3574714;18.0074126;LocLevel.PRECISE
Nagycenk;4;2160;47.6034133;16.6977433;LocLevel.PRECISE
Nagyesztergár;4;1188;47.276735;17.9050628;LocLevel.PRECISE
Nagylóc;4;1482;48.0354309;19.5726013;LocLevel.PRECISE
Nagylózs;4;1058;47.5669714;16.7703934;LocLevel.PRECISE
Nagyszentjános;4;1859;47.70919;17.8711581;LocLevel.PRECISE
Naszály;4;2423;47.6979874;18.263462;LocLevel.PRECISE
Nemesbikk;4;917;47.8875203;20.9656309;LocLevel.PRECISE
Nyíracsád;4;3803;47.6021228;21.9722891;LocLevel.PRECISE
Nyirád;4;1977;47.0054415;17.4545594;LocLevel.PRECISE
Nyírcsaholy;4;2330;47.9025711;22.3351647;LocLevel.PRECISE
Nyírcsászári;4;1255;47.864897;22.1765666;LocLevel.PRECISE
Nyíribrony;4;1165;48.0145239;21.9633977;LocLevel.PRECISE
Nyírmeggyes;4;2713;47.9136955;22.2641364;LocLevel.PRECISE
Pálfa;4;1514;46.7158855;18.6157181;LocLevel.PRECISE
Pánd;4;2008;47.3507322;19.6327453;LocLevel.PRECISE
Pécsvárad;4;4007;46.1608411;18.4206938;LocLevel.PRECISE
Pereszteg;4;1464;47.5932256;16.7351763;LocLevel.PRECISE
Perkáta;4;4033;47.0479725;18.7901236;LocLevel.PRECISE
Petőfibánya;4;2665;47.7661279;19.7019335;LocLevel.PRECISE
Pilismarót;4;2095;47.7848591;18.8747292;LocLevel.PRECISE
Rábapordány;4;982;47.5569204;17.3228724;LocLevel.PRECISE
Rácalmás;4;4766;47.0259018;18.9393279;LocLevel.PRECISE
Rákócziújfalu;4;2023;47.0600423;20.2624113;LocLevel.PRECISE
Rudabánya;4;2577;48.373781;20.6224508;LocLevel.PRECISE
Sárisáp;4;2805;47.6743594;18.6813525;LocLevel.PRECISE
Sárkeresztúr;4;2592;47.0061553;18.5481491;LocLevel.PRECISE
Sásd;4;3051;46.2559563;18.1065598;LocLevel.PRECISE
Sellye;4;2736;45.8735444;17.8514053;LocLevel.PRECISE
Somlóvásárhely;4;1184;47.1209505;17.3762386;LocLevel.PRECISE
Somogyudvarhely;4;1014;46.1773427;17.1909701;LocLevel.PRECISE
Szedres;4;2171;46.4744051;18.6848887;LocLevel.PRECISE
Szentbalázs;4;321;46.319168;17.8959647;LocLevel.PRECISE
Szigetszentmárton;4;2364;47.2286092;18.9576052;LocLevel.PRECISE
Szilvásvárad;4;1564;48.1033386;20.3871297;LocLevel.PRECISE
Táborfalva;4;3431;47.104349;19.4828926;LocLevel.PRECISE
Tahitótfalu;4;6009;47.7541916;19.084289;LocLevel.PRECISE
Taktaszada;4;2010;48.1108216;21.1760084;LocLevel.PRECISE
Tállya;4;1814;48.2353737;21.229904;LocLevel.PRECISE
Tápiógyörgye;4;3548;47.3341052;19.9519935;LocLevel.PRECISE
Tard;4;1150;47.8730202;20.6041356;LocLevel.PRECISE
Tarnaörs;4;1804;47.5953709;20.0527656;LocLevel.PRECISE
Tengelic;4;2224;46.5319473;18.7108467;LocLevel.PRECISE
Tét;4;4070;47.5159522;17.5166682;LocLevel.PRECISE
Tiszaörs;4;1354;47.5080437;20.8201259;LocLevel.PRECISE
Tiszapüspöki;4;2093;47.2145342;20.3172973;LocLevel.PRECISE
Tokodaltáró;4;3046;47.7321967;18.6926702;LocLevel.PRECISE
Újkígyós;4;5103;46.5952164;21.0249183;LocLevel.PRECISE
Üllés;4;3100;46.3371407;19.8486229;LocLevel.PRECISE
Úrkút;4;2066;47.0824725;17.6436593;LocLevel.PRECISE
Vajszló;4;1779;45.8593027;17.9837538;LocLevel.PRECISE
Vasmegyer;4;1746;48.1111158;21.8148518;LocLevel.PRECISE
Vizslás;4;1335;48.0497002;19.8203912;LocLevel.PRECISE
Zákányszék;4;2878;46.2769069;19.8859953;LocLevel.PRECISE
Zsámbék;4;5724;47.5483115;18.7174344;LocLevel.PRECISE
Zsira;4;862;47.4560444;16.6807707;LocLevel.PRECISE
Abaújkér;3;623;48.3079444;21.1998443;LocLevel.PRECISE
Abda;3;3290;47.6976818;17.5409829;LocLevel.PRECISE
Ajak;3;3751;48.1778501;22.0522301;LocLevel.PRECISE
Alsómocsolád;3;320;46.3130764;18.2450064;LocLevel.PRECISE
Alsópáhok;3;1481;46.7613162;17.1738982;LocLevel.PRECISE
Apagy;3;2431;47.9593892;21.9348469;LocLevel.PRECISE
Ároktő;3;1173;47.7281663;20.9434075;LocLevel.PRECISE
Árpádhalom;3;483;46.6177075;20.5505094;LocLevel.PRECISE
Ászár;3;1741;47.509266;18.0045383;LocLevel.PRECISE
Baj;3;2882;47.6489476;18.3644373;LocLevel.PRECISE
Bakonybél;3;1172;47.2551092;17.7280196;LocLevel.PRECISE
Balatonföldvár;3;2302;46.8491197;17.8792403;LocLevel.PRECISE
Balatonszárszó;3;2232;46.8262918;17.8341937;LocLevel.PRECISE
Balogunyom;3;1156;47.1557335;16.6518727;LocLevel.PRECISE
Balotaszállás;3;1582;46.3510123;19.5361824;LocLevel.PRECISE
Bánréve;3;1256;48.2971444;20.3555872;LocLevel.PRECISE
Baracs;3;3534;46.9139521;18.8665281;LocLevel.PRECISE
Bárdudvarnok;3;1174;46.3268032;17.6850898;LocLevel.PRECISE
Bátya;3;2073;46.4874153;18.954523;LocLevel.PRECISE
Beled;3;2581;47.4661125;17.0898826;LocLevel.PRECISE
Beloiannisz;3;1149;47.1821153;18.8255164;LocLevel.PRECISE
Berekböszörmény;3;2030;47.0650084;21.6835918;LocLevel.PRECISE
Biri;3;1365;12.74184485;124.37800382051503;LocLevel.PRECISE
Bő;3;713;-17.0568696;-64.9912286;LocLevel.PRECISE
Bocskaikert;3;3557;47.645522;21.660948;LocLevel.PRECISE
Bodony;3;725;47.9422866;20.0238122;LocLevel.PRECISE
Bodrogkisfalud;3;901;48.1728331;21.3574534;LocLevel.PRECISE
Bódvaszilas;3;1039;48.5368458;20.7315708;LocLevel.PRECISE
Bogács;3;2070;47.9041176;20.5314509;LocLevel.PRECISE
Bogyiszló;3;2182;46.3832444;18.8166969;LocLevel.PRECISE
Böhönye;3;2295;46.4071272;17.3863398;LocLevel.PRECISE
Bőny;3;2252;49.9888889;3.2236111;LocLevel.PRECISE
Borsodbóta;3;856;48.2118128;20.3963817;LocLevel.PRECISE
Borsodivánka;3;674;47.6988334;20.6563366;LocLevel.PRECISE
Borsosberény;3;938;47.9763628;19.1174909;LocLevel.PRECISE
Budajenő;3;2103;47.555673;18.8038041;LocLevel.PRECISE
Buj;3;2291;48.0990777;21.646486;LocLevel.PRECISE
Buják;3;2082;47.8848223;19.5450988;LocLevel.PRECISE
Bük;3;3499;47.3833959;16.753305;LocLevel.PRECISE
Bükkzsérc;3;975;47.9549235;20.5064046;LocLevel.PRECISE
Cece;3;2594;46.7705943;18.6284199;LocLevel.PRECISE
Ceglédbercel;3;4386;47.2150336;19.678569;LocLevel.PRECISE
Csákberény;3;1182;47.3488619;18.3285962;LocLevel.PRECISE
Csikóstőttős;3;840;46.3404713;18.1557109;LocLevel.PRECISE
Csokonyavisonta;3;1579;46.0817403;17.4444757;LocLevel.PRECISE
Csót;3;995;47.3606147;17.6034011;LocLevel.PRECISE
Dánszentmiklós;3;2893;47.2077306;19.5561129;LocLevel.PRECISE
Dédestapolcsány;3;1433;48.1807927;20.484227;LocLevel.PRECISE
Derekegyház;3;1583;46.5821452;20.3559703;LocLevel.PRECISE
Dióskál;3;490;46.6750083;17.0543048;LocLevel.PRECISE
Doboz;3;4245;46.7344029;21.2413729;LocLevel.PRECISE
Döbrököz;3;1960;46.424126;18.239254;LocLevel.PRECISE
Dóc;3;745;46.4379484;20.1369366;LocLevel.PRECISE
Dombrád;3;4100;48.2256872;21.9244483;LocLevel.PRECISE
Dör;3;619;47.5979397;17.2987399;LocLevel.PRECISE
Dunaegyháza;3;1456;46.8366116;18.9535749;LocLevel.PRECISE
Dunaszentgyörgy;3;2586;46.530011;18.8118978;LocLevel.PRECISE
Dunasziget;3;1677;47.9415304;17.3543691;LocLevel.PRECISE
Écs;3;2072;47.5611951;17.7153122;LocLevel.PRECISE
Egercsehi;3;1332;48.053835;20.2555139;LocLevel.PRECISE
Enese;3;1789;47.643899;17.4218856;LocLevel.PRECISE
Erdőkövesd;3;633;48.0406696;20.1009491;LocLevel.PRECISE
Fáj;3;475;48.4212034;21.0763861;LocLevel.PRECISE
Farmos;3;3536;47.3616376;19.8489595;LocLevel.PRECISE
Felcsút;3;1899;47.4545349;18.5862386;LocLevel.PRECISE
Felsőlajos;3;947;47.0660508;19.4959069;LocLevel.PRECISE
Felsőmocsolád;3;392;46.5763073;17.8249896;LocLevel.PRECISE
Fényeslitke;3;2521;48.2709162;22.0990803;LocLevel.PRECISE
Fertőrákos;3;2282;47.716211;16.6527401;LocLevel.PRECISE
Gacsály;3;1 031;47.930888;22.7567922;LocLevel.PRECISE
Galgahévíz;3;2640;47.6222577;19.5558378;LocLevel.PRECISE
Galgamácsa;3;1920;47.693753;19.3848053;LocLevel.PRECISE
Gelse;3;1059;46.6021784;16.989453;LocLevel.PRECISE
Gerjen;3;1258;46.493611;18.9032424;LocLevel.PRECISE
Gesztely;3;2764;48.1027448;20.9648967;LocLevel.PRECISE
Gyöngyössolymos;3;2926;47.8169351;19.9332261;LocLevel.PRECISE
Győrsövényház;3;807;47.690064;17.3737831;LocLevel.PRECISE
Gyulakeszi;3;715;46.8679104;17.4808152;LocLevel.PRECISE
Halászi;3;3188;47.8909561;17.3293251;LocLevel.PRECISE
Halmajugra;3;1376;47.7619785;20.0557648;LocLevel.PRECISE
Harka;3;2535;47.6342337;16.602306;LocLevel.PRECISE
Háromfa;3;724;46.1046252;17.3295434;LocLevel.PRECISE
Hegyeshalom;3;3660;47.9144882;17.1558011;LocLevel.PRECISE
Helesfa;3;482;46.0894523;17.9759355;LocLevel.PRECISE
Herceghalom;3;2615;47.496236;18.7448861;LocLevel.PRECISE
Heréd;3;1903;47.7044017;19.6335945;LocLevel.PRECISE
Herencsény;3;571;47.974606;19.4725791;LocLevel.PRECISE
Herend;3;3483;47.1328461;17.7523356;LocLevel.PRECISE
Hidas;3;2107;46.2584081;18.4965098;LocLevel.PRECISE
Hollóháza;3;849;48.54166;21.4126219;LocLevel.PRECISE
Homokmégy;3;1301;46.4879879;19.0737359;LocLevel.PRECISE
Homokszentgyörgy;3;1091;46.115998;17.5689682;LocLevel.PRECISE
Ikervár;3;1755;47.2082081;16.8953858;LocLevel.PRECISE
Ipolytölgyes;3;330;47.9229018;18.7743978;LocLevel.PRECISE
Ipolyvece;3;822;48.0619605;19.1025464;LocLevel.PRECISE
Istenmezeje;3;1419;48.0829743;20.0518117;LocLevel.PRECISE
Iván;3;1246;48.9296273;16.5758117;LocLevel.PRECISE
Izsófalva;3;1771;48.3097463;20.6531001;LocLevel.PRECISE
Karancskeszi;3;1811;48.1635124;19.6989431;LocLevel.PRECISE
Karancslapujtő;3;2565;48.1526888;19.7360841;LocLevel.PRECISE
Karancsság;3;1302;48.1151247;19.6590571;LocLevel.PRECISE
Kaszaper;3;1847;46.4578045;20.8232128;LocLevel.PRECISE
Kázsmárk;3;1017;48.2754799;20.9740323;LocLevel.PRECISE
Kemecse;3;5073;48.0678349;21.7986929;LocLevel.PRECISE
Kemenesszentpéter;3;603;47.4272734;17.2293189;LocLevel.PRECISE
Kerta;3;570;47.1622477;17.2744856;LocLevel.PRECISE
Kéthely;3;2331;46.6469444;17.3933315;LocLevel.PRECISE
Kevermes;3;1883;46.417206;21.1843082;LocLevel.PRECISE
Kisdorog;3;730;46.3887615;18.4969413;LocLevel.PRECISE
Kistokaj;3;2212;48.0394748;20.8377742;LocLevel.PRECISE
Kisvarsány;3;1049;48.1449512;22.2980272;LocLevel.PRECISE
Kocsér;3;1797;47.0019741;19.9223932;LocLevel.PRECISE
Kölesd;3;1503;46.5084069;18.5871321;LocLevel.PRECISE
Kömlő;3;2011;47.6009257;20.4440987;LocLevel.PRECISE
Konyár;3;2223;47.3209702;21.6738284;LocLevel.PRECISE
Koroncó;3;2349;47.5973773;17.5298156;LocLevel.PRECISE
Kozárd;3;170;47.9140209;19.6182149;LocLevel.PRECISE
Lengyeltóti;3;3087;46.6671072;17.6411039;LocLevel.PRECISE
Lesencetomaj;3;1121;46.8565807;17.3611554;LocLevel.PRECISE
Lőkösháza;3;1832;46.429761;21.2307202;LocLevel.PRECISE
Madaras;3;2814;46.6054279;24.433808;LocLevel.PRECISE
Madocsa;3;1898;46.6880707;18.9566974;LocLevel.PRECISE
Magyarhomorog;3;893;47.021454;21.542895;LocLevel.PRECISE
Mátraszele;3;918;48.0553975;19.893917;LocLevel.PRECISE
Mátraszőlős;3;1524;47.9449844;19.7012118;LocLevel.PRECISE
Mélykút;3;5082;46.2151957;19.3792097;LocLevel.PRECISE
Méra;3;1691;48.359042;21.1517514;LocLevel.PRECISE
Merenye;3;286;46.069745;17.6984759;LocLevel.PRECISE
Mezőladány;3;1072;48.274162;22.2228824;LocLevel.PRECISE
Mogyorósbánya;3;880;47.727491;18.6024067;LocLevel.PRECISE
Monostorpályi;3;2180;47.3975197;21.7734026;LocLevel.PRECISE
Nagybaracska;3;2315;46.0429521;18.9054826;LocLevel.PRECISE
Nagykónyi;3;1063;46.5903723;18.2032011;LocLevel.PRECISE
Nagymányok;3;2303;46.2824922;18.459239;LocLevel.PRECISE
